symbol,types,S,N
mt-Atp6,div,5.66666666666667,15.3333333333333
mt-Atp6,poly,15.6666666666667,44.3333333333334
mt-Atp8,div,1.33333333333333,1.66666666666667
mt-Atp8,poly,2.66666666666666,6.33333333333334
mt-Co1,div,12,33
mt-Co1,poly,31.3333333333333,91.6666666666667
mt-Co2,div,6.66666666666666,20.3333333333334
mt-Co2,poly,18.6666666666667,44.3333333333334
mt-Co3,div,6.33333333333333,14.6666666666667
mt-Co3,poly,9.66666666666666,41.3333333333334
mt-Cytb,div,14.6666666666667,45.3333333333334
mt-Cytb,poly,23,82.0000000000001
mt-Nd1,div,13.3333333333333,34.6666666666667
mt-Nd1,poly,18.6666666666667,59.3333333333334
mt-Nd2,div,16.6666666666667,46.3333333333334
mt-Nd2,poly,25.6666666666666,76.3333333333334
mt-Nd3,div,3.66666666666666,8.33333333333334
mt-Nd3,poly,9.66666666666665,26.3333333333334
mt-Nd4,div,17,46
mt-Nd4,poly,31,92.0000000000001
mt-Nd4l,poly,3.66666666666667,11.3333333333333
mt-Nd5,div,15,57.0000000000001
mt-Nd5,poly,51.3333333333333,173.666666666667
mt-Nd6,div,3.33333333333333,14.6666666666667
mt-Nd6,poly,16.6666666666667,43.3333333333334
