nmice,smito,17strains,overlap,frac_smito,frac_17strains,oddsratio,pval
1,838,128,89,0.106205250596659,0.0898876404494382,1.18153341288783,0.00339024240321573
2,366,128,32,0.0874316939890711,0.0898876404494382,0.972677595628415,0.528080497909016
3,152,128,14,0.0921052631578947,0.0898876404494382,1.02467105263158,0.389254067199406
4,72,128,8,0.111111111111111,0.0898876404494382,1.23611111111111,0.191247733836674
5,46,128,6,0.130434782608696,0.0898876404494382,1.45108695652174,0.111734141008374
6,29,128,4,0.137931034482759,0.0898876404494382,1.53448275862069,0.111832241184651
7,25,128,3,0.12,0.0898876404494382,1.335,0.181046273308379
8,22,128,3,0.136363636363636,0.0898876404494382,1.51704545454545,0.128382440611553
9,21,128,3,0.142857142857143,0.0898876404494382,1.58928571428571,0.112492544477811
10,17,128,3,0.176470588235294,0.0898876404494382,1.96323529411765,0.0589986127306017
11,14,128,2,0.142857142857143,0.0898876404494382,1.58928571428571,0.124236955172247
12,11,128,2,0.181818181818182,0.0898876404494382,2.02272727272727,0.0685230562606956
13,3,128,1,0.333333333333333,0.0898876404494382,3.70833333333333,0.0226452214982479
